	id	rtscts	datarate	packetsize	verbose	rng	thr1	pkl1	thr2	pkl2
109	cd016ff4-810d-4204-a911-743655e8981c	True	2	1000	True	60	2.05326 Mbps	0 %	2.05326 Mbps	0 %
110	50b33444-9409-4f12-93ba-a0f0ee84b5bf	True	15	500	True	179	7.97773 Mbps	49.6311 %	6.0361 Mbps	61.8899 %
111	305e9885-fe86-4058-beb1-3d5585ebdfb7	True	1	1000	True	24	1.02526 Mbps	0 %	1.02526 Mbps	0 %
112	b0d50fd3-a373-4420-bb9f-24d0db6896cb	True	2	500	True	52	2.11059 Mbps	0 %	2.10496 Mbps	0.266845 %
113	0de593f2-e17a-463f-bc4b-d6a6e3a2c08a	True	15	500	True	176	7.03437 Mbps	55.5872 %	7.04845 Mbps	55.4983 %
114	100a81f7-d316-4d53-9428-4c81a2d0da39	False	15	1500	True	399	1.23462 Mbps	91.9178 %	1.59727 Mbps	89.5439 %
115	efe20c87-dd17-44c8-ac85-1d1ff0d44ae1	True	10	1500	True	158	9.88514 Mbps	2.92117 %	10.1378 Mbps	0.440176 %
116	fc7c558c-82e2-4afb-9ed8-d8fe496e58ca	True	2	500	True	54	2.11059 Mbps	0 %	2.10918 Mbps	0.0667111 %
117	863d4542-5c7a-47b2-bdbd-623c11765aba	True	15	100	True	168	1.83467 Mbps	90.4444 %	2.22959 Mbps	88.3876 %
118	1345492c-c11c-4fad-bc0a-226c7d0f9294	False	5	100	True	280	2.43883 Mbps	61.8913 %	2.23061 Mbps	65.1448 %
119	85a79628-b20d-4dcf-8018-d3fb3c3e5060	True	10	500	True	137	6.1248 Mbps	41.9923 %	7.80877 Mbps	26.0435 %
120	8cbdff7f-d0e5-40fd-8603-8e52429b2cd4	False	10	1500	True	351	4.05837 Mbps	60.1441 %	0.831232 Mbps	91.8367 %
121	ed9df527-8693-477a-a0d7-2f82dfe85a72	False	5	1500	True	313	0.73344 Mbps	85.5885 %	2.48147 Mbps	51.241 %
122	c90b7555-aefc-43a2-980f-f77497720fb5	True	5	100	True	82	2.11456 Mbps	66.9582 %	1.96028 Mbps	69.369 %
123	b8643fbd-01b6-49cf-b35c-05a2b25d604a	False	15	100	True	364	2.18726 Mbps	88.608 %	2.26543 Mbps	88.2009 %
124	feda317b-f7d9-46df-b8c2-4de73c0fac57	True	10	500	True	135	7.14278 Mbps	32.351 %	6.83584 Mbps	35.258 %
125	a03c70b3-e97c-4b18-acff-b1d661c53a1e	True	1	500	True	10	1.05459 Mbps	0 %	1.05459 Mbps	0 %
126	a7a92e9d-8e1d-4154-b595-039c587ac9fa	False	5	500	True	294	3.0976 Mbps	41.3177 %	1.54176 Mbps	70.7922 %
127	8f53c54f-e1eb-41a5-8844-24ad43a63887	True	10	1000	True	148	9.38907 Mbps	8.6423 %	9.92089 Mbps	3.46759 %
128	809d111c-c89d-4afa-9333-714702e89006	True	1	1500	True	36	1.01459 Mbps	0 %	1.01459 Mbps	0 %
129	ff21b70f-f5d7-486b-9955-94e840799a7b	False	15	100	True	366	2.34598 Mbps	87.7813 %	2.37568 Mbps	87.6267 %
130	cdcfac98-f5f4-4646-802a-386d26621962	False	5	500	True	297	2.04442 Mbps	61.2697 %	1.86842 Mbps	64.6039 %
131	96bc2d54-134d-4bf7-82f4-e80b1a635fd1	False	2	1000	True	260	1.31036 Mbps	36.1816 %	1.4858 Mbps	27.6368 %
132	60d3b604-2afa-4689-87e5-2fb2abe424fb	False	15	1500	True	390	5.90827 Mbps	61.323 %	0.761963 Mbps	95.012 %
133	5df0e131-7da4-403f-b967-bd362ae2875b	True	2	1000	True	69	2.05326 Mbps	0 %	2.05326 Mbps	0 %
134	45ca60ab-1c8d-41b5-9565-593d7d4ae770	False	5	500	True	292	2.02189 Mbps	61.6965 %	1.87405 Mbps	64.4972 %
135	5e2a111d-0783-495e-b02c-d60640c76d14	False	10	1500	True	353	0.892352 Mbps	91.2365 %	4.02985 Mbps	60.4242 %
136	a93a9f43-bba7-41ef-81be-0a4c8af0751b	True	2	100	True	45	1.87972 Mbps	26.5635 %	2.20604 Mbps	13.8152 %
137	08520f63-e06e-4c96-b10e-ac16d243eec3	False	2	1000	True	268	1.40905 Mbps	31.3752 %	1.34325 Mbps	34.5794 %
138	402fff01-8639-4568-adc5-37809a4c9da9	False	1	1000	True	223	1.00059 Mbps	2.40642 %	0.992363 Mbps	3.20856 %
139	a5852dba-7518-4d38-82aa-144c16faa29b	True	15	1000	True	185	11.7494 Mbps	23.8044 %	10.4225 Mbps	32.4089 %
140	598933c1-7f12-455d-a3ee-4cec0dfbe014	True	15	1500	True	199	14.2695 Mbps	6.58842 %	11.3887 Mbps	25.4468 %
141	fbff0f5b-1cfd-43f9-ab9b-2b7bdbb6e630	False	2	1500	True	270	1.04311 Mbps	48.6974 %	0.945323 Mbps	53.507 %
142	78d8a531-7b7d-4c72-b8f0-8fa4d3181e56	True	10	100	True	128	2.07531 Mbps	83.7862 %	1.9968 Mbps	84.3996 %
143	31096d72-5b40-44b9-ba9a-014bf18edbf4	False	2	1500	True	279	0.981995 Mbps	51.7034 %	1.16128 Mbps	42.8858 %
144	668c8b78-e683-46bb-ab90-48ce0b6eb6d4	True	2	1500	True	70	2.03326 Mbps	0 %	2.03326 Mbps	0 %
145	8e7a85fd-acbb-4b3b-989f-3ad2c8f29a8d	True	2	500	True	50	2.10496 Mbps	0.266845 %	2.11059 Mbps	0 %
146	ec01f5cc-ada8-40da-865d-ebac32a30ed1	True	1	500	True	13	1.05459 Mbps	0 %	1.05459 Mbps	0 %
147	040e1057-1c99-426c-a1a3-07d0731fc524	True	15	1500	True	194	9.98701 Mbps	34.6226 %	14.3143 Mbps	6.29501 %
148	a9ac62b8-c9eb-4274-8350-d7031ec64d4d	True	1	1000	True	27	1.02526 Mbps	0 %	1.02526 Mbps	0 %
149	d436ec7c-cf21-4743-8a46-0e5ad88ddd2b	False	1	1000	True	225	0.98688 Mbps	3.74332 %	0.995104 Mbps	2.94118 %
150	29bb5d0a-a6c6-43ed-ac9d-973420513cbf	True	10	1000	True	146	9.98394 Mbps	2.85409 %	9.67417 Mbps	5.86823 %
151	74e3f955-3fa2-40cf-9097-c0bd9e39f24b	True	2	1500	True	75	2.03326 Mbps	0 %	2.03326 Mbps	0 %
152	c2c71fd5-95bd-4d4c-b499-7b84e63e7f60	False	15	100	True	362	2.44122 Mbps	87.2853 %	2.30332 Mbps	88.0036 %
153	52b7e891-6acf-4aba-8736-f42de9adf4ba	True	15	1000	True	180	9.69335 Mbps	37.1378 %	12.2592 Mbps	20.4978 %
154	c2d18681-1844-4dc8-adc2-f6b09c066289	True	15	1000	True	186	13.1529 Mbps	14.7022 %	8.71744 Mbps	43.4667 %
155	d9a4ca6f-a97f-476c-bb0c-4007e85e13d3	True	5	500	True	91	5.27859 Mbps	0 %	5.27155 Mbps	0.133369 %
156	339352cd-1527-4c2f-94bf-6da724ceddd4	True	5	500	True	93	5.2631 Mbps	0.293412 %	5.26592 Mbps	0.240064 %
157	242b5d18-5ffd-4a33-afd0-691c93637acd	True	2	100	True	49	2.00158 Mbps	21.8029 %	2.08418 Mbps	18.5758 %
158	f9e8799c-d7b4-4b45-83cf-44fa1a9ef7ea	True	5	1000	True	107	5.13726 Mbps	0 %	5.13178 Mbps	0.106724 %
159	ed96a830-0cef-4dd4-a95b-46c55869e711	False	1	100	True	201	1.26942 Mbps	0.800213 %	1.27181 Mbps	0.613497 %
160	07d83b7e-040d-4408-b67b-17df1761146a	True	1	1000	True	29	1.02526 Mbps	0 %	1.02526 Mbps	0 %
161	b4cc0144-6bcb-49e1-8bb4-662ab45825cb	True	1	100	True	6	1.27625 Mbps	0.266738 %	1.27761 Mbps	0.160043 %
162	084e64f7-b110-4b3c-a9cb-7f3b70745453	False	1	500	True	213	1.04614 Mbps	0.801068 %	1.04333 Mbps	1.06809 %
163	0b9090df-25f0-47d3-8040-1516b552e513	True	1	1000	True	22	1.02526 Mbps	0 %	1.02526 Mbps	0 %
164	c7e54176-928f-468c-82b4-211417be5721	True	5	1000	True	106	5.13178 Mbps	0.106724 %	5.07969 Mbps	1.1206 %
165	e7170089-fffd-4501-823d-f5b379a8a22d	False	1	500	True	215	1.04896 Mbps	0.534045 %	1.05318 Mbps	0.133511 %
166	07009ea4-19e2-48b8-8819-e0ffe158a416	True	15	1000	True	181	11.5328 Mbps	25.2089 %	10.9023 Mbps	29.2978 %
167	63f8e27a-d105-445b-8860-803503706ced	False	2	1500	True	272	1.04719 Mbps	48.497 %	1.02274 Mbps	49.6994 %
168	28da2145-c92f-4173-8107-e6043db54672	False	2	500	True	258	1.71635 Mbps	18.6791 %	1.77549 Mbps	15.8773 %
169	f6159a4c-cd7a-43ce-a297-13a8c7baf135	True	1	1000	True	23	1.02526 Mbps	0 %	1.02526 Mbps	0 %
170	d6693b13-a8cd-48dc-8272-9e102d777174	False	5	100	True	283	2.29717 Mbps	64.1048 %	2.25724 Mbps	64.7288 %
171	aa1ac0dd-31cd-48ef-adca-9856bb857c44	True	10	500	True	138	6.02202 Mbps	42.9657 %	7.97632 Mbps	24.4566 %
