	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
305	7c7f0f7f-ff0b-4411-8c06-bc1102b0c853	False	False	12.5	1000	True	327	12.8294	1079	12.8492	43
306	3fd22a2a-0d45-4514-af75-40499151169a	False	True	12.5	1000	True	237	3.93601	1029	12.7949	790
307	71f276aa-3057-4e8f-a347-82cba552fe2c	True	False	12.5	1000	True	141	11.4873	0	12.4018	0
308	24e844d3-30c7-41d1-a5f4-c64b92b84560	True	False	17.5	1000	True	164	11.5103	0	14.897	0
309	92b72471-7a0f-43d3-a563-5e5a07924479	False	False	12.5	1000	True	323	12.7192	1276	12.836	63
310	9491ec60-3aa2-43b8-bae7-ddfb3b86bdb5	False	False	15.0	1000	True	337	14.3459	954	15.4134	4
311	d7e8c9bb-e1dc-4969-8dbe-a0343a6a5a4d	False	False	20.0	1000	True	356	17.2868	1166	19.2721	2
312	d7c8f065-88ce-4fce-9410-f35074c93126	False	True	1.0	1000	True	183	1.02636	625	1.02636	0
313	60298ac2-70f7-4065-a55e-2d70dec8020d	True	True	10.0	1000	True	46	7.25028	106	10.2784	0
314	92587ed2-0476-4d48-b0e3-01a19bd85440	True	False	7.5	1000	True	124	7.69931	0	7.70918	0
315	542293db-0854-46a7-8cc8-4e783fc9751d	False	False	10.0	1000	True	317	10.2784	3411	10.2586	22
316	5b5d9bd6-7424-4b24-b557-6f6018704115	False	True	7.5	1000	True	217	2.52312	1056	6.1351	667
317	c97cd05e-cc7f-43b9-94c1-819ae5ccae74	False	False	20.0	1000	True	351	17.0944	1194	19.1521	1
318	d2ce19f4-dd7e-4061-99b3-0c5e2a68fecb	False	True	12.5	1000	True	236	4.60215	1246	12.7472	1043
319	39768f21-f5c5-49ce-8f38-163774cc948c	True	True	1.0	1000	True	2	1.02636	2	1.02636	0
320	6dada990-ab6b-41d9-a17f-e0d90f294b17	False	True	10.0	1000	True	224	2.18923	1285	10.1961	1001
321	14fb299c-38a7-4440-9cd0-1e4a61f828fd	False	True	15.0	1000	True	242	5.91141	969	15.3575	721
322	61b0ad85-b37a-4942-a795-ca68a5c1f0a7	True	True	10.0	1000	True	48	6.93941	85	10.2784	0
