	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr	rtr
85	a1d11577-ce1d-43e8-b375-3d1bdd3152fe	False	False	1.0	1000	True	373	2.05272	576
86	688f1fc5-7167-4f42-a265-a1bec5a4943a	False	True	1.0	1000	True	257	2.05272	0
87	d2e26f0b-3177-45e4-a74b-77c5e05c3df4	True	True	2.5	500	True	25	5.27663	43
88	1cc6982d-fa1d-403c-9ba6-e33d8a9953e7	True	True	5.0	500	True	48	10.547329999999999	5
89	7c46ce0d-e08f-4318-b2f8-ab33d6e149b2	True	False	5.0	1000	True	178	10.263549999999999	2724
90	bd3b5a54-1571-4743-a6cc-8bfcffe4ed52	False	False	2.5	500	True	382	5.27325	621
91	397efdec-5115-4980-9f84-18e241e65edd	True	False	10.0	500	True	205	16.504849999999998	0
92	72031217-2951-441f-9e4d-7158c4e0a7a9	False	False	7.5	500	True	422	15.81381	3434
93	836130c7-7cde-466b-8217-6b910c425486	False	True	1.0	500	True	242	2.11032	0
94	485c5df8-d41d-4d83-9cc2-95a253d02576	False	True	1.0	500	True	243	2.11032	250
95	8598b9d3-9015-4e1d-b8db-d0ab2666395e	True	False	7.5	500	True	187	14.81695	0
96	01d4a89e-643c-4437-b6b9-410af1bb7176	False	True	5.0	500	True	280	10.54733	3
97	0271fad1-9ae0-45ef-87be-ccbf3e3a8405	True	True	15.0	1000	True	111	27.9698	6
98	2c0b73c7-a4e8-431e-a5f9-cbee448059eb	True	True	15.0	500	True	103	17.71799	4
99	4e66bd3a-9331-4d57-97e4-f8c9eb58a017	False	False	7.5	500	True	429	15.83155	3543
100	04af77f3-4011-445d-801c-16fdb07473f5	True	False	2.5	1000	True	156	5.13507	309
101	e9ea9f59-dea5-4227-9907-d0ea7cac3d9c	False	True	5.0	500	True	281	10.53382	5
102	f3e60e97-8985-4870-bb2f-73542e6e36bc	True	False	5.0	500	True	162	10.54818	1678
103	4cec76d6-f030-4d38-88ac-a205b5ffd64b	True	True	10.0	500	True	86	17.70785	8
104	f04bbf16-ac77-4753-affa-7aee301fe93d	True	False	15.0	500	True	227	16.48374	0
105	6c17d1d9-7b69-4ce1-9fe2-e46b3682e6ef	True	True	1.0	1000	True	16	2.05272	0
106	a383656d-c4c1-4a18-a1f3-1e63903ee062	False	False	7.5	500	True	423	15.82986	3585
107	efad525c-415c-4e96-af71-28200491fca6	True	False	1.0	500	True	121	2.11032	748
108	4598a050-b412-405e-83ae-02e3105ed5d6	False	False	5.0	1000	True	417	10.27178	3057
109	eaa8f16a-5895-4b64-aa4e-8401ad8a686c	False	False	2.5	1000	True	399	5.133419999999999	311
110	c6c0c1f6-d342-43f2-9d36-d0eac3dda1c1	False	False	7.5	500	True	424	15.83071	3497
111	e134e213-27b0-4d6f-b506-c00634fcb019	True	False	10.0	1000	True	210	20.5452	0
112	9e91a2bc-1e99-43f7-90c5-341ab1964a42	True	False	1.0	500	True	123	2.11032	1037
113	062b20b4-ed3d-483f-8d18-debd589aaede	True	False	10.0	500	True	203	16.49303	0
114	ed378f0f-6739-4781-9961-9335aee84a6f	True	True	7.5	1000	True	77	15.3904	12
115	b3810855-3c7a-4a0c-8f27-cf0ed8883775	True	True	15.0	1000	True	117	27.976399999999998	6
116	1dccfa8c-aee0-409d-97ee-50a47a7022f3	True	False	10.0	1000	True	215	20.5304	0
117	9443f3be-2465-4d61-83ef-885b4c2f1f04	False	True	1.0	500	True	241	2.11032	249
118	15774e45-246b-49cc-aebc-52bfa346d657	True	True	5.0	500	True	46	10.5524	2
119	f30840c5-e805-4a6e-85a6-19fb239c2b0f	True	True	1.0	500	True	1	2.11032	0
120	33b52666-f295-4900-b2e6-3f7d7f3fa9a9	False	True	1.0	500	True	245	2.11032	0
121	5f682e92-5b05-42d8-9da8-daa23fea4d7f	False	False	10.0	500	True	441	20.176299999999998	2918
122	cb089d0f-27b8-49ad-a6db-412f0b1f2d98	False	True	5.0	500	True	283	10.54817	5
123	66f8bef8-5c6e-4bee-b61e-2f88c5efbd9d	True	True	7.5	500	True	67	15.03152	5
124	6669a078-2496-494e-af5d-f5216ec4a0b1	False	True	15.0	1000	True	356	30.7758	17
125	5c764c0d-4dc2-43d1-964c-d90904845c53	True	False	1.0	1000	True	131	2.05272	538
126	a7ebdb22-7eaf-4619-8b7c-4c84e33e43a4	False	True	2.5	1000	True	270	5.13507	310
127	545e8039-c568-4a80-acd1-4d7203fe87ab	False	False	1.0	500	True	360	2.11032	775
128	26dcc3fd-d60f-472c-bf7b-9e845a157203	True	False	1.0	1000	True	139	2.05272	558
129	4e4c05f4-0e53-4ae1-b1d5-4b21446b6342	True	False	2.5	1000	True	154	5.13836	1554
130	ab589c9c-33e9-446c-890b-b5c2ca4c1f15	False	False	1.0	500	True	369	2.11032	630
131	5d0285b5-5d1e-4da5-b82e-821af89cfc7c	True	True	10.0	500	True	85	17.7239	6
132	0f8f6871-f7d7-4a11-9f4d-3f36a7e2ba2b	False	False	7.5	1000	True	438	15.410129999999999	4592
133	2c00199d-263b-4bcc-9bd0-da91966ad0bb	False	True	5.0	1000	True	299	10.27178	7
134	3ddc92f3-007c-40de-88ca-3d42dad7315e	True	True	10.0	1000	True	93	20.4827	4
135	65d09b89-fe03-4e67-abd3-ccdcadae9060	False	True	1.0	1000	True	253	2.05272	0
136	5bc47781-4aff-495f-a9e1-ba09ac91577b	False	False	1.0	1000	True	379	2.05272	529
